Participant;mark;Wed Oct 17 11:09:33 2018
Trial;Sample;Comp1;Comp2
1;crossinggard3.png;tennis.png;crossinggard3.png
2;bicycle2.png;bicycle2.png;firefighter2.png
3;wagon.png;baseball.png;wagon.png
4;firefighter2.png;firefighter2.png;football.png
5;9.png;wagon.png;9.png
6;house1.png;house1.png;a.png
7;salad.png;salad.png;church2.png
8;house18.png;teacher3.png;house18.png
9;n.png;11.png;n.png
10;schoolbusdriver4.png;schoolbusdriver4.png;miningtruck.png
11;running.png;running.png;crossinggard2.png
12;twostorybus.png;twostorybus.png;boat2.png
13;schoolbusdriver.png;schoolbusdriver.png;garbageman2.png
14;house13.png;house13.png;21.png
15;hockeystick.png;hockeystick.png;8.png
16;25.png;6.png;25.png
17;church3.png;18.png;church3.png
18;volleyballnet.png;firefighter2.png;volleyballnet.png
19;mailman3.png;mailman3.png;house19.png
20;steak.png;steak.png;hamburguer.png
